trade,name,spd,reason,market,qty,target,current,change,%change,active,xdate
B,3BBIF,-1,RD50Pct,SET,10000,5.25,5.3,0.0,0.0,1,2022-11-13
B,AIMIRT,-2,RND05pct,SET,5000,10.2,10.4,-0.1,-0.952381,1,2024-11-26
B,CPNREIT,-10,RD40Pct,SET,5000,10.8,11.8,-0.1,-0.840336,1,2024-11-26
B,DIF,-1,RD40Pct,SET,5000,8.3,8.35,0.05,0.60241,1,2024-11-14
B,GVREIT,-5,RND20Pct,SET,6000,6.25,6.5,0.05,0.775194,1,2024-08-28
B,JMART,-18,RND65pct,SET50,3200,11.2,13.0,0.0,0.0,0,2024-09-30
B,KCE,1,RND70pct,SET100,1000,25.0,24.9,-0.1,-0.4,1,2022-08-26
B,MCS,-17,RD50Pct,SET,5000,5.8,6.65,0.15,2.307692,0,2024-08-23
B,NER,2,RD40pct,SET,6000,4.7,4.66,0.0,0.0,1,2024-08-23
B,SENA,-21,RD60pct,SET,7000,1.92,2.26,0.02,0.892857,0,2024-05-10
B,TFFIF,-7,RD20Pct,SET,5000,6.0,6.35,0.05,0.793651,1,2023-12-12
B,WHAIR,-9,RD30pct,SET,5000,6.0,6.45,0.0,0.0,1,2024-11-21
S,AWC,70,COS,SET50,9000,4.96,3.56,0.06,1.714286,0,2024-05-09
S,BCH,61,COS,SET100,2000,21.7,15.6,-0.1,-0.636943,0,2024-08-29
S,JMT,166,COS,SET50,900,50.0,18.4,-0.2,-1.075269,0,2024-08-22
S,PTG,49,COS,SET100,3600,11.4,8.25,0.15,1.851852,0,2024-11-26
S,RCL,45,RD60pct,SET100,3000,38.75,27.5,-0.25,-0.900901,0,2024-11-21
S,SINGER,189,RD75pct,SET100,3000,24.8,7.9,0.1,1.282051,0,2024-05-03
S,SYNEX,-498,RD70pct,SET,2000,0.0,14.8,0.3,2.068966,0,2024-08-27
S,TVO,24,DTD,SET,4000,25.25,22.7,0.0,0.0,0,2022-12-22
S,WHART,24,COS,SET,10000,12.1,9.85,0.0,0.0,0,2024-11-25
