name,fm_date,to_date,fm_price,to_price,qty,max_price,min_price,percent,status
MCS,2023-06-14,2023-06-14,7.15,7.1,9989844,7.15,6.95,-0.7,B
STA,2023-06-13,2023-06-14,18.5,18.6,21890860,19.0,18.5,0.54,B
TMT,2023-06-14,2023-06-14,7.45,7.5,956952,7.5,7.45,0.67,B
SYNEX,2023-06-13,2023-06-14,13.2,13.3,924306,13.3,12.8,0.76,B
SINGER,2023-06-14,2023-06-14,11.1,11.3,89678904,11.6,10.7,1.8,B
BANPU,2023-06-14,2023-06-14,8.7,8.9,1005203596,8.9,8.2,2.3,B
IVL,2023-06-08,2023-06-14,33.25,35.0,276317160,35.0,32.0,5.26,B
CPNREIT,2023-06-09,2023-06-14,13.0,12.6,19991560,13.0,12.6,-3.08,I
AH,2023-06-13,2023-06-14,35.25,34.5,207660528,37.75,27.75,-2.13,I
GVREIT,2023-06-14,2023-06-14,9.05,8.9,502000,9.1,8.9,-1.66,I
KTC,2023-06-14,2023-06-14,52.25,51.5,15022617,53.0,50.0,-1.44,I
BCH,2023-06-14,2023-06-14,18.4,18.3,56608904,18.6,18.3,-0.54,I
SENA,2023-06-08,2023-06-14,3.14,3.16,15476816,3.16,3.1,0.64,I
JMART,2023-06-08,2023-06-14,19.3,20.1,293448016,20.3,18.9,4.15,I
AWC,2023-06-09,2023-06-14,5.0,5.3,123682600,5.3,5.0,6.0,I
LANNA,2023-06-08,2023-06-14,16.0,15.7,13697336,16.2,15.7,-1.88,O
BEM,2023-06-14,2023-06-14,8.55,8.4,63700988,8.55,8.3,-1.75,O
BDMS,2023-06-13,2023-06-14,29.0,28.5,234681772,29.0,28.25,-1.72,O
EA,2023-06-09,2023-06-14,64.0,63.0,67070832,65.0,63.0,-1.56,O
BH,2023-06-14,2023-06-14,236.0,233.0,4226124,238.0,232.0,-1.27,O
ORI,2023-06-14,2023-06-14,11.3,11.2,15561008,11.3,11.0,-0.88,O
PTG,2023-06-14,2023-06-14,12.4,12.3,14318695,12.4,11.8,-0.81,O
TTB,2023-06-14,2023-06-14,1.64,1.63,806851830,1.69,1.61,-0.61,O
KKP,2023-06-14,2023-06-14,62.0,61.75,12565592,63.25,61.25,-0.4,O
BBL,2023-06-14,2023-06-14,163.5,163.0,42968740,163.5,159.5,-0.31,O
KTB,2023-06-13,2023-06-14,19.3,19.5,197551106,19.6,19.0,1.04,O
TASCO,2023-06-13,2023-06-14,18.7,19.0,21841056,19.0,18.3,1.6,O
PTTEP,2023-06-13,2023-06-14,149.5,152.0,21947116,152.0,149.5,1.67,O
ICHI,2023-06-14,2023-06-14,15.0,15.3,56141012,15.4,15.0,2.0,O
NER,2023-06-07,2023-06-14,4.48,4.82,162358448,4.82,4.44,7.59,O
JMT,2023-06-07,2023-06-14,39.5,43.25,446043832,44.0,38.5,9.49,O
TFFIF,2023-06-12,2023-06-14,7.55,7.65,62070360,7.75,7.5,1.32,S
JASIF,2023-06-13,2023-06-14,6.95,7.1,25591528,7.1,6.95,2.16,S
PTTGC,2023-06-13,2023-06-14,38.25,39.25,136384628,39.25,35.5,2.61,S
