trade,name,qty,price,active,reason,market,xdate
B,BBL,400,155.0,0,XXX,SET50,2023-09-06
B,BEM,2500,7.8,0,XXX,SET50,2022-12-22
B,BH,100,250.0,1,XXX,SET50,2022-12-22
B,CK,1000,22.1,1,XXX,SET100,2022-12-22
B,CPN,300,64.5,0,XXX,SET50,2022-12-22
B,DELTA,200,90.0,0,XXX,SET50,2022-12-22
B,DIF,3000,8.65,0,RD40pct,SET,2023-08-15
B,GVREIT,3000,6.6,1,RD20pct,SET,2023-08-28
B,HANA,400,59.0,1,XXX,SET100,2022-12-22
B,ICHI,1500,14.3,0,XXX,SET,2022-12-22
B,III,2000,10.8,0,XXX,SET,2022-12-22
B,JASIF,4000,6.5,1,RD35pct,SET,2023-08-21
B,JMART,1200,23.5,1,RD35pct,SET50,2023-08-24
B,JMT,800,43.0,0,RD30pct,SET50,2023-08-24
B,KTB,1000,18.8,1,XXX,SET50,2023-04-20
B,M,500,45.0,1,XXX,SET,2022-12-22
B,NER,3000,4.44,0,RD40pct,SET,2023-08-25
B,ORI,3000,9.4,0,RD15pct,SET100,2023-08-28
B,PSH,2000,12.2,0,XXX,SET,2023-03-10
B,PTTEP,200,134.5,0,XXX,SET50,2023-08-15
B,PTTGC,600,34.5,1,RD4,SET50,2023-08-29
B,QH,10000,2.1,0,XXX,SET100,2023-08-23
B,SAPPE,300,80.0,0,XXX,SET,2022-12-22
B,SC,5000,4.1,0,XXX,SET,2023-08-23
B,SENA,7000,2.56,0,RD45pct,SET,2023-08-28
B,SINGER,3000,12.2,0,RD60pct,SET100,2023-08-03
B,SIRI,10000,1.9,1,XXX,SET,2022-12-22
B,STA,2500,14.5,0,RD70pct,SET100,2023-08-24
B,SYNEX,2000,10.0,0,RD65pct,SET,2023-08-25
B,TMT,3000,6.3,0,RD40pct,SET,2023-08-24
B,TTB,20000,1.65,1,XXX,SET50,2022-12-22
B,WHART,10000,10.2,1,RD15pct,SET,2023-08-21
S,AH,1200,39.0,0,5pct,SET,2023-08-29
S,AIMIRT,10000,11.1,1,DOS,SET,2023-08-23
S,ASK,4500,31.25,0,XXX,SET,2023-02-28
S,ASP,30000,3.82,0,5pct,SET,2023-08-28
S,AWC,9000,5.1,0,RD25pct,SET50,2022-12-22
S,BCH,3000,21.4,0,COS,SET100,2023-08-31
S,CPNREIT,5000,12.7,0,COS,SET,2023-08-23
S,IVL,800,0.0,0,RD30pct,SET50,2023-08-28
S,KCE,1000,61.75,0,COS,SET100,2023-08-21
S,MCS,3000,7.65,0,COS,SET,2023-03-17
S,PTG,3600,12.1,0,5pct,SET100,2022-12-22
S,RCL,3000,30.5,0,COS,SET100,2023-08-24
S,SCC,300,385.0,0,COS,SET50,2023-08-09
S,TFFIF,20000,7.85,0,XXX,SET,2023-09-01
S,TOA,1000,27.25,1,5pct,SET,2023-08-30
S,WHAIR,10000,7.75,0,DOS,SET,2023-08-18
