name,shares,unit_cost,cost_amt,mkt_price,mkt_amt,amt_rnk,mkt_pct,div_rnk,div_amt
RCL,24000,39.8,955200.0,31.0,744000.0,2.0,22.58,1.0,168000.0
JASIF,130000,10.0,1300000.0,8.25,1072500.0,1.0,11.39,2.0,122200.0
SENA,105000,4.48,470400.0,3.94,413700.0,4.0,8.59,3.0,35532.0
WHAIR,40000,8.95,358000.0,7.95,318000.0,8.0,8.48,4.0,26976.0
GVREIT,40000,8.9,356000.0,9.3,372000.0,6.0,8.37,5.0,31144.0
DIF,40000,14.7,588000.0,13.6,544000.0,3.0,7.65,6.0,41640.0
WHART,30000,11.7,351000.0,11.8,354000.0,7.0,7.58,7.0,26823.0
BCH,15000,21.46,321900.0,21.1,316500.0,9.0,6.64,8.0,21000.0
SCCC,1200,171.0,205200.0,159.0,190800.0,10.0,5.66,9.0,10800.0
DCC,60000,2.96,177600.0,2.84,170400.0,11.0,5.63,10.0,9600.0
TFFIF,10000,7.5,75000.0,8.1,81000.0,12.0,4.59,11.0,3721.0
CPNREIT,20000,18.9,378000.0,20.4,408000.0,5.0,4.44,12.0,18118.0
